Продукция,Наименование партнера,Количество продукции,Дата продажи
Паркетная доска Ясень темный однополосная 14 мм,База Строитель,15500,3/23/2023
Ламинат Дуб дымчато-белый 33 класс 12 мм,База Строитель,12350,12/18/2023
Ламинат Дуб серый 32 класс 8 мм с фаской,База Строитель,37400,6/7/2024
Инженерная доска Дуб Французская елка однополосная 12 мм,Паркет 29,35000,12/2/2022
Пробковое напольное клеевое покрытие 32 класс 4 мм,Паркет 29,1250,5/17/2023
Ламинат Дуб дымчато-белый 33 класс 12 мм,Паркет 29,1000,6/7/2024
Паркетная доска Ясень темный однополосная 14 мм,Паркет 29,7550,7/1/2024
Паркетная доска Ясень темный однополосная 14 мм,Стройсервис,7250,1/22/2023
Инженерная доска Дуб Французская елка однополосная 12 мм,Стройсервис,2500,7/5/2024
Ламинат Дуб серый 32 класс 8 мм с фаской,Ремонт и отделка,59050,3/20/2023
Ламинат Дуб дымчато-белый 33 класс 12 мм,Ремонт и отделка,37200,3/12/2024
Пробковое напольное клеевое покрытие 32 класс 4 мм,Ремонт и отделка,4500,5/14/2024
Ламинат Дуб дымчато-белый 33 класс 12 мм,МонтажПро,50000,9/19/2023
Ламинат Дуб серый 32 класс 8 мм с фаской,МонтажПро,670000,11/10/2023
Паркетная доска Ясень темный однополосная 14 мм,МонтажПро,35000,4/15/2024
Инженерная доска Дуб Французская елка однополосная 12 мм,МонтажПро,25000,6/12/2024
